Id,Key,Name,Type
106,MLS 2017,MLS,Football match
107,Northern Ireland Irish Cup 2016-2017,Northern Ireland Irish Cup,Football match
108,Denmark 1st Division 2016-2017,Denmark 1st Division,Football match
109,Russia FNL 2016-2017,Russia FNL,Football match
110,Slovakia Cup 2016-2017,Slovakia Cup,Football match
111,Copa Colombia 2017,Copa Colombia,Football match
112,Latvia Virsliga 2017,Latvia Virsliga,Football match
113,Japan J-League Cup 2017,Japan JLeague Cup,Football match
114,Belgium Cup 2016-2017,Belgium Cup,Football match
115,Africa Cup of Nations Qualification 2019 Cameroon,Africa Cup of Nations Qualification  Cameroon,Football match
116,Europe UEFA U19 Championship 2017 Georgia,Europe UEFA U Championship  Georgia,Football match
117,Irish League Cup 2017,Irish League Cup,Football match
118,WC Qualification South America 2018 Russia,WC Qualification South America  Russia,Football match
119,WC Qualification Asia 2018 Russia,WC Qualification Asia  Russia,Football match
120,WC Qualification Europe 2018 Russia,WC Qualification Europe  Russia,Football match
121,North/Central America WC Qualification CONCACAF 2018 Russia,North/Central America WC Qualification CONCACAF  Russia,Football match
122,Czech Republic Cup 2016-2017,Czech Republic Cup,Football match
123,Asian Cup Qualification 2019 UAE,Asian Cup Qualification  UAE,Football match
124,Romania Cupa României 2016-2017,Romania Cupa României,Football match
125,WC Qualification Oceania 2018 Russia,WC Qualification Oceania  Russia,Football match
